00000000000000000	ruleMACD Start
00000000000000000	RuleSync Start
00000000000000000	RuleMA2 Start
00000000000000000	RuleMA Start
1899-12-30 09:16:07	Login
1899-12-30 10:12:00	Long at 12388.0
1899-12-30 10:12:02	RuleMA: Long
1899-12-30 10:36:01	Short at 12356.0
1899-12-30 10:36:03	Current Balance: -35.0 points
1899-12-30 10:36:03	CutLoss RuleMA
1899-12-30 15:08:00	Short at 12334.0
1899-12-30 15:08:02	RuleMA2: Short
1899-12-30 15:14:00	Short at 12338.0
1899-12-30 15:14:02	Short at 12338.0
1899-12-30 15:14:02	Rule MACD: Short, Histogram:-1.3127182
1899-12-30 15:14:04	RuleSync: Short
1899-12-30 15:26:14	Long at 12367.0
1899-12-30 15:26:15	CutLoss RuleMA2
1899-12-30 15:26:16	Long at 12366.0
1899-12-30 15:26:19	CutLoss ruleMACD
1899-12-30 15:26:19	Long at 12366.0
1899-12-30 15:26:20	Current Balance: -133.0 points
1899-12-30 15:26:20	RuleSync: Close Contract
